"trainer/global_step","eager-lion-59 - _step","eager-lion-59 - _step__MIN","eager-lion-59 - _step__MAX","eager-lion-59 - val/acc","eager-lion-59 - val/acc__MIN","eager-lion-59 - val/acc__MAX"
"1251","1","1","1","0.0014250000240281224","0.0014250000240281224","0.0014250000240281224"
"2503","4","4","4","0.002524999901652336","0.002524999901652336","0.002524999901652336"
"3755","7","7","7","0.04715000092983246","0.04715000092983246","0.04715000092983246"
"5007","10","10","10","0.09742499887943268","0.09742499887943268","0.09742499887943268"
"6259","13","13","13","0.15127499401569366","0.15127499401569366","0.15127499401569366"
"7511","16","16","16","0.19484999775886536","0.19484999775886536","0.19484999775886536"
"8763","19","19","19","0.23295000195503235","0.23295000195503235","0.23295000195503235"
"10015","22","22","22","0.2705250084400177","0.2705250084400177","0.2705250084400177"
"11267","25","25","25","0.29807499051094055","0.29807499051094055","0.29807499051094055"
"12519","28","28","28","0.3214249908924103","0.3214249908924103","0.3214249908924103"
"13771","31","31","31","0.34437501430511475","0.34437501430511475","0.34437501430511475"
"15023","34","34","34","0.36239999532699585","0.36239999532699585","0.36239999532699585"
"16275","37","37","37","0.3785249888896942","0.3785249888896942","0.3785249888896942"
"17527","40","40","40","0.39272499084472656","0.39272499084472656","0.39272499084472656"
"18779","43","43","43","0.4065000116825104","0.4065000116825104","0.4065000116825104"
"20031","46","46","46","0.41554999351501465","0.41554999351501465","0.41554999351501465"
"21283","49","49","49","0.4282749891281128","0.4282749891281128","0.4282749891281128"
"22535","52","52","52","0.43767499923706055","0.43767499923706055","0.43767499923706055"
"23787","55","55","55","0.4514999985694885","0.4514999985694885","0.4514999985694885"
"25039","58","58","58","0.45570001006126404","0.45570001006126404","0.45570001006126404"
"26291","61","61","61","0.46129998564720154","0.46129998564720154","0.46129998564720154"
"27543","65","65","65","0.4732249975204468","0.4732249975204468","0.4732249975204468"
"28795","68","68","68","0.48077499866485596","0.48077499866485596","0.48077499866485596"
"30047","71","71","71","0.4887250065803528","0.4887250065803528","0.4887250065803528"
"31299","74","74","74","0.491100013256073","0.491100013256073","0.491100013256073"
"32551","77","77","77","0.5009250044822693","0.5009250044822693","0.5009250044822693"
"33803","80","80","80","0.5051249861717224","0.5051249861717224","0.5051249861717224"
"35055","83","83","83","0.5112249851226807","0.5112249851226807","0.5112249851226807"
"36307","86","86","86","0.5185750126838684","0.5185750126838684","0.5185750126838684"
"37559","89","89","89","0.5220999717712402","0.5220999717712402","0.5220999717712402"
"38811","92","92","92","0.5277249813079834","0.5277249813079834","0.5277249813079834"
"40063","95","95","95","0.5304750204086304","0.5304750204086304","0.5304750204086304"
"41315","98","98","98","0.5392500162124634","0.5392500162124634","0.5392500162124634"
"42567","101","101","101","0.5398250222206116","0.5398250222206116","0.5398250222206116"
"43819","104","104","104","0.5488749742507935","0.5488749742507935","0.5488749742507935"
"45071","107","107","107","0.5463749766349792","0.5463749766349792","0.5463749766349792"
